dialogue_id,turn,misconception_general,misconception_specific,problem,student_incorrect_solution,dialogue_history,student_turn_text,correct,kcs,label,note
37,turn 1,Brenda is a 7th grade student. She struggle to put the numbers in the correct order in the equation or determine the correct operation to use.,Miscalculation when working out the totals,"Reynald is the head of the varsity department, and he bought 145 balls. Twenty were soccer balls. There were five more basketballs than the soccer balls. Twice the number of soccer balls were tennis balls.  There were ten more baseballs than the soccer balls, and the rest were volleyballs. How many were volleyballs?","The number of basketballs is 20 + 5 = 25.
The number of soccer balls is 20 x 2 = 40.
The number of baseballs is 20 + 10 = 30.
The total number of soccer balls, basketballs, and baseballs is 40 + 25 + 30 = 95.
Therefore, the number of volleyballs is 145 - 95 = 50.
 50","Tutor: Hi Brenda can you talk me through your working out please?
Student (turn 1): Sure! First I figured out that the number of basketballs is 20 + 5 = 25. Then I figured out that the number of soccer balls is 20 x 2 = 40. After that, I figured out that the number of baseballs is 20 + 10 = 30. Then I added up the total number of soccer balls, basketballs, and baseballs which was 40 + 25 + 30 = 95. Finally, I subtracted 95 from 145 to get the number of volleyballs, which was 145 - 95 = 50.  <-- LABEL THIS TURN","Sure! First I figured out that the number of basketballs is 20 + 5 = 25. Then I figured out that the number of soccer balls is 20 x 2 = 40. After that, I figured out that the number of baseballs is 20 + 10 = 30. Then I added up the total number of soccer balls, basketballs, and baseballs which was 40 + 25 + 30 = 95. Finally, I subtracted 95 from 145 to get the number of volleyballs, which was 145 - 95 = 50.",None,['Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding. (This standard is limited to problems posed with whole numbers and having whole number answers; students should know how to perform operations in the conventional order when there are no parentheses to specify a particular order (Order of Operations).)'],present,
37,turn 2,Brenda is a 7th grade student. She struggle to put the numbers in the correct order in the equation or determine the correct operation to use.,Miscalculation when working out the totals,"Reynald is the head of the varsity department, and he bought 145 balls. Twenty were soccer balls. There were five more basketballs than the soccer balls. Twice the number of soccer balls were tennis balls.  There were ten more baseballs than the soccer balls, and the rest were volleyballs. How many were volleyballs?","The number of basketballs is 20 + 5 = 25.
The number of soccer balls is 20 x 2 = 40.
The number of baseballs is 20 + 10 = 30.
The total number of soccer balls, basketballs, and baseballs is 40 + 25 + 30 = 95.
Therefore, the number of volleyballs is 145 - 95 = 50.
 50","Tutor: Hi Brenda can you talk me through your working out please?
Student (turn 1): Sure! First I figured out that the number of basketballs is 20 + 5 = 25. Then I figured out that the number of soccer balls is 20 x 2 = 40. After that, I figured out that the number of baseballs is 20 + 10 = 30. Then I added up the total number of soccer balls, basketballs, and baseballs which was 40 + 25 + 30 = 95. Finally, I subtracted 95 from 145 to get the number of volleyballs, which was 145 - 95 = 50.
Tutor: There were 20 soccer balls
Student (turn 2): Right, so the number of soccer balls is 20 x 2 = 40. Then the number of baseballs is 20 + 10 = 30.  <-- LABEL THIS TURN","Right, so the number of soccer balls is 20 x 2 = 40. Then the number of baseballs is 20 + 10 = 30.",FALSE,"['Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 × 7.', 'Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.']",present,
37,turn 3,Brenda is a 7th grade student. She struggle to put the numbers in the correct order in the equation or determine the correct operation to use.,Miscalculation when working out the totals,"Reynald is the head of the varsity department, and he bought 145 balls. Twenty were soccer balls. There were five more basketballs than the soccer balls. Twice the number of soccer balls were tennis balls.  There were ten more baseballs than the soccer balls, and the rest were volleyballs. How many were volleyballs?","The number of basketballs is 20 + 5 = 25.
The number of soccer balls is 20 x 2 = 40.
The number of baseballs is 20 + 10 = 30.
The total number of soccer balls, basketballs, and baseballs is 40 + 25 + 30 = 95.
Therefore, the number of volleyballs is 145 - 95 = 50.
 50","Tutor: Hi Brenda can you talk me through your working out please?
Student (turn 1): Sure! First I figured out that the number of basketballs is 20 + 5 = 25. Then I figured out that the number of soccer balls is 20 x 2 = 40. After that, I figured out that the number of baseballs is 20 + 10 = 30. Then I added up the total number of soccer balls, basketballs, and baseballs which was 40 + 25 + 30 = 95. Finally, I subtracted 95 from 145 to get the number of volleyballs, which was 145 - 95 = 50.
Tutor: There were 20 soccer balls
Student (turn 2): Right, so the number of soccer balls is 20 x 2 = 40. Then the number of baseballs is 20 + 10 = 30.
Tutor: The number of basketballs, tennis balls, baseballs and soccer balls in total is 115
Student (turn 3): Right, so the number of basketballs is 20 + 5 = 25. The number of soccer balls is 20 x 2 = 40. The number of baseballs is 20 + 10 = 30. That adds up to 95. Therefore, the number of volleyballs is 145 - 95 = 50.  <-- LABEL THIS TURN","Right, so the number of basketballs is 20 + 5 = 25. The number of soccer balls is 20 x 2 = 40. The number of baseballs is 20 + 10 = 30. That adds up to 95. Therefore, the number of volleyballs is 145 - 95 = 50.",FALSE,['Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding. (This standard is limited to problems posed with whole numbers and having whole number answers; students should know how to perform operations in the conventional order when there are no parentheses to specify a particular order (Order of Operations).)'],present,
37,turn 4,Brenda is a 7th grade student. She struggle to put the numbers in the correct order in the equation or determine the correct operation to use.,Miscalculation when working out the totals,"Reynald is the head of the varsity department, and he bought 145 balls. Twenty were soccer balls. There were five more basketballs than the soccer balls. Twice the number of soccer balls were tennis balls.  There were ten more baseballs than the soccer balls, and the rest were volleyballs. How many were volleyballs?","The number of basketballs is 20 + 5 = 25.
The number of soccer balls is 20 x 2 = 40.
The number of baseballs is 20 + 10 = 30.
The total number of soccer balls, basketballs, and baseballs is 40 + 25 + 30 = 95.
Therefore, the number of volleyballs is 145 - 95 = 50.
 50","Tutor: Hi Brenda can you talk me through your working out please?
Student (turn 1): Sure! First I figured out that the number of basketballs is 20 + 5 = 25. Then I figured out that the number of soccer balls is 20 x 2 = 40. After that, I figured out that the number of baseballs is 20 + 10 = 30. Then I added up the total number of soccer balls, basketballs, and baseballs which was 40 + 25 + 30 = 95. Finally, I subtracted 95 from 145 to get the number of volleyballs, which was 145 - 95 = 50.
Tutor: There were 20 soccer balls
Student (turn 2): Right, so the number of soccer balls is 20 x 2 = 40. Then the number of baseballs is 20 + 10 = 30.
Tutor: The number of basketballs, tennis balls, baseballs and soccer balls in total is 115
Student (turn 3): Right, so the number of basketballs is 20 + 5 = 25. The number of soccer balls is 20 x 2 = 40. The number of baseballs is 20 + 10 = 30. That adds up to 95. Therefore, the number of volleyballs is 145 - 95 = 50.
Tutor: There were 20 + 5 = 25 basketballs.
There were 2 x 20 = 40 tennis balls.
And, there were 20 + 10 = 30 baseballs.
So, there were 20 + 25 + 40 + 30 = 115 soccer balls, basketballs, tennis balls and baseball altogether. Therefore, Reynald bought 145 - 115 = 30 volleyballs
Student (turn 4): Yes, that's correct! I understand now. Thank you for helping me understand the problem.  <-- LABEL THIS TURN","Yes, that's correct! I understand now. Thank you for helping me understand the problem.",TRUE,"['Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 × 7.', 'Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.', 'Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding. (This standard is limited to problems posed with whole numbers and having whole number answers; students should know how to perform operations in the conventional order when there are no parentheses to specify a particular order (Order of Operations).)']",not_evidenced,
44,turn 1,Ronny is a 7th grade student. He struggle most with understanding what the problem is asking them to do.,The student incorrectly included the missed walking days in the solution,"Emberly takes her mornings walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, calculate the total number of miles she's walked.","Emberly walks for 1 hour every day covering 4 miles, which means she walks 4 miles/day.
If she didn't walk for 4 days in March, she missed 4*4 = 16 miles.
The total number of miles she's walked is 31 days in March - 4 days missed = 27 days.
She walked 27*4 = 108 miles in March.
Adding the missed 16 miles, Emberly walked a total of 108+16 = 124 miles.
 124","Tutor: Hi Ronny, please talk me through your solution
Student (turn 1): I calculated that Emberly walked 4 miles/day and she missed 4 days in March, so she missed 16 miles. Then I calculated that she walked 27 days in March, which is 27*4 = 108 miles. Then I added the 16 miles that she missed, which is 108+16 = 124 miles  <-- LABEL THIS TURN","I calculated that Emberly walked 4 miles/day and she missed 4 days in March, so she missed 16 miles. Then I calculated that she walked 27 days in March, which is 27*4 = 108 miles. Then I added the 16 miles that she missed, which is 108+16 = 124 miles",None,"['Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.', 'Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.']",present,
44,turn 2,Ronny is a 7th grade student. He struggle most with understanding what the problem is asking them to do.,The student incorrectly included the missed walking days in the solution,"Emberly takes her mornings walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, calculate the total number of miles she's walked.","Emberly walks for 1 hour every day covering 4 miles, which means she walks 4 miles/day.
If she didn't walk for 4 days in March, she missed 4*4 = 16 miles.
The total number of miles she's walked is 31 days in March - 4 days missed = 27 days.
She walked 27*4 = 108 miles in March.
Adding the missed 16 miles, Emberly walked a total of 108+16 = 124 miles.
 124","Tutor: Hi Ronny, please talk me through your solution
Student (turn 1): I calculated that Emberly walked 4 miles/day and she missed 4 days in March, so she missed 16 miles. Then I calculated that she walked 27 days in March, which is 27*4 = 108 miles. Then I added the 16 miles that she missed, which is 108+16 = 124 miles
Tutor: can you tell me why you included the last step?
Student (turn 2): Yes, I included the last step because I wanted to make sure that I accounted for the 16 miles that she missed by not walking for 4 days in March. So I added the 16 miles to the total number of miles she walked in March, which was 108 miles, to get the total number of miles she walked, which was 124 miles  <-- LABEL THIS TURN","Yes, I included the last step because I wanted to make sure that I accounted for the 16 miles that she missed by not walking for 4 days in March. So I added the 16 miles to the total number of miles she walked in March, which was 108 miles, to get the total number of miles she walked, which was 124 miles",TRUE,"['Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.', 'Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.']",present,
44,turn 3,Ronny is a 7th grade student. He struggle most with understanding what the problem is asking them to do.,The student incorrectly included the missed walking days in the solution,"Emberly takes her mornings walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, calculate the total number of miles she's walked.","Emberly walks for 1 hour every day covering 4 miles, which means she walks 4 miles/day.
If she didn't walk for 4 days in March, she missed 4*4 = 16 miles.
The total number of miles she's walked is 31 days in March - 4 days missed = 27 days.
She walked 27*4 = 108 miles in March.
Adding the missed 16 miles, Emberly walked a total of 108+16 = 124 miles.
 124","Tutor: Hi Ronny, please talk me through your solution
Student (turn 1): I calculated that Emberly walked 4 miles/day and she missed 4 days in March, so she missed 16 miles. Then I calculated that she walked 27 days in March, which is 27*4 = 108 miles. Then I added the 16 miles that she missed, which is 108+16 = 124 miles
Tutor: can you tell me why you included the last step?
Student (turn 2): Yes, I included the last step because I wanted to make sure that I accounted for the 16 miles that she missed by not walking for 4 days in March. So I added the 16 miles to the total number of miles she walked in March, which was 108 miles, to get the total number of miles she walked, which was 124 miles
Tutor: If I collected a penny every day of March except 4 days, how many pennies would I have?
Student (turn 3): If you collected a penny every day of March except 4 days, you would have 31 days in March - 4 days missed = 27 days. So you would have 27 pennies in total  <-- LABEL THIS TURN","If you collected a penny every day of March except 4 days, you would have 31 days in March - 4 days missed = 27 days. So you would have 27 pennies in total",TRUE,"['Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.', 'Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.']",absent,
44,turn 4,Ronny is a 7th grade student. He struggle most with understanding what the problem is asking them to do.,The student incorrectly included the missed walking days in the solution,"Emberly takes her mornings walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, calculate the total number of miles she's walked.","Emberly walks for 1 hour every day covering 4 miles, which means she walks 4 miles/day.
If she didn't walk for 4 days in March, she missed 4*4 = 16 miles.
The total number of miles she's walked is 31 days in March - 4 days missed = 27 days.
She walked 27*4 = 108 miles in March.
Adding the missed 16 miles, Emberly walked a total of 108+16 = 124 miles.
 124","Tutor: Hi Ronny, please talk me through your solution
Student (turn 1): I calculated that Emberly walked 4 miles/day and she missed 4 days in March, so she missed 16 miles. Then I calculated that she walked 27 days in March, which is 27*4 = 108 miles. Then I added the 16 miles that she missed, which is 108+16 = 124 miles
Tutor: can you tell me why you included the last step?
Student (turn 2): Yes, I included the last step because I wanted to make sure that I accounted for the 16 miles that she missed by not walking for 4 days in March. So I added the 16 miles to the total number of miles she walked in March, which was 108 miles, to get the total number of miles she walked, which was 124 miles
Tutor: If I collected a penny every day of March except 4 days, how many pennies would I have?
Student (turn 3): If you collected a penny every day of March except 4 days, you would have 31 days in March - 4 days missed = 27 days. So you would have 27 pennies in total
Tutor: That's correct, you wouldn't include the missed days. Can you have another go at this solution, keeping this in mind?
Student (turn 4): Emberly takes her morning walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, then she would have walked 31 days in March - 4 days missed = 27 days. This means she walked 27*4 = 108 miles in March. Since she missed 4 days, she would have missed 4*4 = 16 miles. Therefore, the total number of miles she's walked is 108+16 = 124 miles  <-- LABEL THIS TURN","Emberly takes her morning walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, then she would have walked 31 days in March - 4 days missed = 27 days. This means she walked 27*4 = 108 miles in March. Since she missed 4 days, she would have missed 4*4 = 16 miles. Therefore, the total number of miles she's walked is 108+16 = 124 miles",FALSE,"['Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.', 'Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.']",present,
44,turn 5,Ronny is a 7th grade student. He struggle most with understanding what the problem is asking them to do.,The student incorrectly included the missed walking days in the solution,"Emberly takes her mornings walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, calculate the total number of miles she's walked.","Emberly walks for 1 hour every day covering 4 miles, which means she walks 4 miles/day.
If she didn't walk for 4 days in March, she missed 4*4 = 16 miles.
The total number of miles she's walked is 31 days in March - 4 days missed = 27 days.
She walked 27*4 = 108 miles in March.
Adding the missed 16 miles, Emberly walked a total of 108+16 = 124 miles.
 124","Tutor: Hi Ronny, please talk me through your solution
Student (turn 1): I calculated that Emberly walked 4 miles/day and she missed 4 days in March, so she missed 16 miles. Then I calculated that she walked 27 days in March, which is 27*4 = 108 miles. Then I added the 16 miles that she missed, which is 108+16 = 124 miles
Tutor: can you tell me why you included the last step?
Student (turn 2): Yes, I included the last step because I wanted to make sure that I accounted for the 16 miles that she missed by not walking for 4 days in March. So I added the 16 miles to the total number of miles she walked in March, which was 108 miles, to get the total number of miles she walked, which was 124 miles
Tutor: If I collected a penny every day of March except 4 days, how many pennies would I have?
Student (turn 3): If you collected a penny every day of March except 4 days, you would have 31 days in March - 4 days missed = 27 days. So you would have 27 pennies in total
Tutor: That's correct, you wouldn't include the missed days. Can you have another go at this solution, keeping this in mind?
Student (turn 4): Emberly takes her morning walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, then she would have walked 31 days in March - 4 days missed = 27 days. This means she walked 27*4 = 108 miles in March. Since she missed 4 days, she would have missed 4*4 = 16 miles. Therefore, the total number of miles she's walked is 108+16 = 124 miles
Tutor: in the pennies solution, you didn't include the missed days. Can you do the same here?
Student (turn 5): Yes, for this solution I would not include the 4 days that she missed. So the total number of miles she's walked is 27 days in March * 4 miles/day = 108 miles. Since she missed 4 days, she would have missed 4*4 = 16 miles. Therefore, the total number of miles she's walked is 108+16 = 124 miles  <-- LABEL THIS TURN","Yes, for this solution I would not include the 4 days that she missed. So the total number of miles she's walked is 27 days in March * 4 miles/day = 108 miles. Since she missed 4 days, she would have missed 4*4 = 16 miles. Therefore, the total number of miles she's walked is 108+16 = 124 miles",FALSE,"['Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.', 'Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.']",present,
44,turn 6,Ronny is a 7th grade student. He struggle most with understanding what the problem is asking them to do.,The student incorrectly included the missed walking days in the solution,"Emberly takes her mornings walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, calculate the total number of miles she's walked.","Emberly walks for 1 hour every day covering 4 miles, which means she walks 4 miles/day.
If she didn't walk for 4 days in March, she missed 4*4 = 16 miles.
The total number of miles she's walked is 31 days in March - 4 days missed = 27 days.
She walked 27*4 = 108 miles in March.
Adding the missed 16 miles, Emberly walked a total of 108+16 = 124 miles.
 124","Tutor: Hi Ronny, please talk me through your solution
Student (turn 1): I calculated that Emberly walked 4 miles/day and she missed 4 days in March, so she missed 16 miles. Then I calculated that she walked 27 days in March, which is 27*4 = 108 miles. Then I added the 16 miles that she missed, which is 108+16 = 124 miles
Tutor: can you tell me why you included the last step?
Student (turn 2): Yes, I included the last step because I wanted to make sure that I accounted for the 16 miles that she missed by not walking for 4 days in March. So I added the 16 miles to the total number of miles she walked in March, which was 108 miles, to get the total number of miles she walked, which was 124 miles
Tutor: If I collected a penny every day of March except 4 days, how many pennies would I have?
Student (turn 3): If you collected a penny every day of March except 4 days, you would have 31 days in March - 4 days missed = 27 days. So you would have 27 pennies in total
Tutor: That's correct, you wouldn't include the missed days. Can you have another go at this solution, keeping this in mind?
Student (turn 4): Emberly takes her morning walks every day. If each walk takes her 1 hour covering 4 miles, and she didn't walk for 4 days in March, then she would have walked 31 days in March - 4 days missed = 27 days. This means she walked 27*4 = 108 miles in March. Since she missed 4 days, she would have missed 4*4 = 16 miles. Therefore, the total number of miles she's walked is 108+16 = 124 miles
Tutor: in the pennies solution, you didn't include the missed days. Can you do the same here?
Student (turn 5): Yes, for this solution I would not include the 4 days that she missed. So the total number of miles she's walked is 27 days in March * 4 miles/day = 108 miles. Since she missed 4 days, she would have missed 4*4 = 16 miles. Therefore, the total number of miles she's walked is 108+16 = 124 miles
Tutor: if Emberly only walks for 27 days, how many hours has she walked for?
Student (turn 6): If Emberly only walks for 27 days, she would have walked 27 hours in total. Since each walk takes her 1 hour, she would have walked 27*1 = 27 hours  <-- LABEL THIS TURN","If Emberly only walks for 27 days, she would have walked 27 hours in total. Since each walk takes her 1 hour, she would have walked 27*1 = 27 hours",TRUE,"['Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 × 7.', 'Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.']",not_evidenced,
